FIRMA;DIL;Login;WaitTime;WaitCount;CustomMaxAnswered;MEDIATION_DURATION;SAAT
2;2;10;417;7;763;429;3
3;2;2;396;2;588;686;3
3;2;2;693;2;968;483;4
2;2;10;206;6;609;283;4
2;2;10;269;8;609;200;4
2;2;10;417;6;647;312;4
4;1;2;0;0;0;0;4
2;2;10;303;12;609;336;4
3;2;2;497;2;416;735;3
2;2;10;299;11;609;336;4
2;2;10;301;10;609;243;4
4;2;5;502;5;549;1187;3
2;2;8;425;7;647;323;3
2;2;10;305;11;609;266;4
1;2;7;375;4;276;851;3
1;2;7;0;0;630;25;3
2;2;10;283;9;609;210;4
2;2;10;353;6;763;384;3
2;2;10;270;9;609;295;4
2;1;7;0;0;3;0;4
2;2;10;453;8;763;322;3
3;2;2;201;2;275;966;3
2;2;9;236;7;609;269;4
4;2;5;434;3;549;937;3
2;2;9;269;5;412;549;3
2;2;10;407;7;763;296;3
2;2;10;409;5;647;281;4
2;2;9;532;6;551;383;3
2;2;10;379;6;763;462;3
2;2;10;26;2;324;398;3
3;2;2;0;0;275;586;3
2;2;10;355;7;763;294;3
2;1;7;0;0;2;1;3
1;2;7;477;5;462;782;3
2;2;10;473;10;763;418;3
4;1;5;0;0;3;1;3
4;2;5;191;1;272;381;3
2;2;10;372;6;763;461;3
2;2;10;441;8;763;418;3
2;2;10;370;5;763;395;3
2;2;9;429;6;317;645;3
2;2;9;514;5;551;387;3
4;2;5;173;2;350;547;3
1;2;7;250;4;276;816;3
1;2;7;114;2;630;257;3
2;2;9;494;6;528;467;3
2;2;10;335;5;763;376;3
2;1;7;0;0;2;0;3
2;2;9;574;8;551;608;3
2;2;9;254;5;412;761;3
4;2;5;331;3;350;618;3
3;2;2;0;0;275;414;3
1;2;7;186;2;508;460;3
2;2;9;313;5;412;700;3
1;2;7;210;3;276;750;3
2;1;7;0;0;2;0;3
4;1;4;0;0;3;1;3
1;1;15;0;0;2;1;2
1;2;7;153;3;315;793;3
2;2;9;436;5;528;526;3
3;2;2;243;1;199;189;3
4;1;5;0;0;3;0;3
2;2;9;231;3;412;457;3
2;1;6;0;0;2;0;3
2;2;9;196;3;412;526;3
2;2;9;263;4;412;532;3
2;1;6;0;0;2;0;3
4;1;5;0;0;2;1;3
4;2;5;199;2;272;459;3
4;1;5;0;0;3;0;3
4;2;5;24;1;272;349;3
1;2;7;15;2;630;276;3
1;2;6;105;2;315;489;3
3;1;3;0;0;2;0;3
1;1;16;0;0;2;0;3
4;2;5;13;1;272;210;3
2;2;15;695;5;891;374;2
3;2;2;0;0;920;163;3
1;1;16;0;0;3;0;3
3;2;2;353;1;199;273;3
2;2;10;87;2;412;315;3
2;2;9;94;2;324;358;3
2;2;14;589;11;1006;791;2
4;1;5;0;0;3;1;3
2;2;10;347;3;412;249;3
3;2;2;0;0;430;197;3
1;2;7;166;2;656;122;3
1;2;7;112;1;630;40;3
4;2;5;38;1;262;270;3
1;2;7;166;1;508;171;3
1;2;7;13;1;630;75;3
2;2;9;392;3;400;235;3
4;1;5;0;0;3;1;3
2;2;10;36;3;324;410;3
2;2;9;169;4;816;323;3
4;2;5;192;2;262;150;3
3;1;3;0;0;2;98;3
2;2;9;78;3;324;171;3
4;2;5;128;1;272;34;3
1;1;16;0;0;2;0;3
1;2;6;313;2;656;371;3
